,username,caption,hashtags,label
0,halka_arz_borsa,Borsamızda adından sıkça bahsettirecek SAVUNMA SANAYİ Şirketi Geçtiğimiz hafta talep toplayıp halka arzı tamamlanan ve Mayıs Salı günü BİSTte işleme başlayacak olan Onur Yüksek Teknoloji şirketinin geçmişten günümüze gerçekleştirdiği faaliyetleri sizler için inceledik Onur Yüksek Teknoloji yılında Ankarada kuruldu ve ilk birkaç yıl içerisinde Türk Silahlı Kuvvetleri Müşterek Komuta Harekât Merkezinin elektronik sistemlerinin kurulumlarını tamamladı da Türk Silahlı Kuvvetlerinin kendi güvenli haberleşme ağına sahip olmasını sağlamak amacıyla hayata geçirilen Türk Silahlı Kuvvetleri Entegre Haberleşme Sistemleri Projesi kapsamında kilometrelik TAFICS Fiber Optik Kablo Ağını tamamlayarak Türkiyede bu sektörün ilk yerli oyuncusu oldu te NATO projesi kapsamında Hava Kuvvetleri platformları ile Deniz gemileri arasında uzun mesafe koordinasyonunu sağlayacak güvenli bir iletişim altyapısı oluşturmak amacıyla anten ve istasyonlar kurdu de Türk Hava Kuvvetlerinin günümüzde de kullanımına devam ettiği iki adet Mobil Hava Trafik Kontrol Kulesinin tasarımını ve üretimini gerçekleştirdi de İstanbul ve Çanakkale boğazlarında gemi trafiğini yönetmek amacıyla inşa edilen Gemi Trafik Kontrol ve Yönetim Sistemlerinin kurulum ve entegrasyonunu tamamladı te İtalyan GEM ELETTRONICA ortaklığıyla Türk Deniz Kuvvetlerine ait adet gemiye ARPA ve LPI yeteneklerine sahip radar sistemlerinin kurulum ve entegrasyonunu tamamladı de Devlet Meteoroloji Genel Müdürlüğüne ait CBAND Doppler Radar İstasyonları farklı noktada inşa edildi Tüm inşaat ve sistem entegrasyon işleri Onur Yüksek Teknoloji tarafından yapıldı de Türk Hava Kuvvetleri Hava Savunma Telsiz Ağı projesi kapsamında ilk ve tek yerli Sesli Haberleşme Sistemlerini VCS temin etti te ilk İHA olma özelliği taşıyan ANKA İHAlarının yer kontrol istasyonları için dünyanın ilk İHAya özel sesli haberleşme sistemini VCS geliştirdi Yine aynı sene Kahramanmaraş ve Osmaniyede devreye alacağı GES tesislerine ilişkin yatırım kararıyla yenilenebilir enerji teknolojileri alanına adım attı ve kurulduğu tarih itibariyle ülkemizde kurul,"['ONRYT', 'ONRYT']",finans
1,halka_arz_borsa,SPKdan Yeni Halka Arz Onayları Yiğit Akü Toplam Lot adet Fiyat TL Arz Büyüklüğü TL Horoz Lojistik Toplam Lot adet Fiyat TL Arz Büyüklüğü TL Altınkılıç Gıda Toplam Lot Fiyat TL Arz Büyüklüğü TL,"['YIGIT', 'HOROZ', 'ALKLC']",finans
2,halka_arz_borsa, Tasarruflarını borsada değerlendiren yatırımcılara yönelik finansal okuryazarlık videosu Tasarruflarınızı söylenti tüyo ve duyumla değil bilgiye dayalı olarak değerlendirin,[],finans
3,halka_arz_borsa,Özyaşar Tel halka arz oluyor Talep Toplama Tarihleri Mayıs Fiyat Satılacak Lot Halka Arz Büyüklüğü Dağıtım Yöntemi Eşit Dağıtım Normal Hisse Alır Gibi Fiyatlaması sektör ortalamasının altında PDDD ile işlem görecek Halka arzın önemli bir kısmı şirketin kasasına giriyor Arz gelirleri ve üretime yönelik yatırımlar ile borç stoğu yönetilebilir seviyelerde ülke ile ihracat bağlantısı mevcut Yıllık ton üretim kapasitesi mevcut Geçmiş yıl kârları ve diğer bilanço kalemleri ile bedelsiz sermaye artışı yapabilme potansiyeli mevcut İşlem görecek pay sayısı az son arzlara göre küçük tahta az lot olumlu,['OZYSR'],finans
4,halka_arz_borsa,Onur Yüksek Teknoloji halka arz oluyor Talep Toplama Tarihleri Mayıs Fiyat Satılacak Lot Halka Arz Büyüklüğü Dağıtım Yöntemi Eşit Dağıtım,['ONRYT'],finans
5,halka_arz_borsa, SPK bülteninde şirketin halka arzına onay verildi Taslak izahnamelerine göre Özyaşar Tel Galvaniz BİREYSELE EŞİT LOT FİYAT TL TL Onur Yüksek Teknoloji TAMAMI EŞİT LOT FİYAT TL TL,"['OZYSR', 'ONRYT']",finans
6,halka_arz_borsa, Hareket Proje Taşımacılığı ve Yük Mühendisliği AŞ İşlem Kodu Mayıs ÇarşPerşCuma Fiyat Toplam Lot Katılım Endeksine Uygun Halka arz kısmından katılıyoruz ℹGelin şirkete ufaktan göz atalım Halka arz gelirinin lık kısmı yatırım amacıyla kullanılacak milyar civarı kasaya para girecek Arz sonrası PDDD civarı olacak Fiyatı uygun görünüyor Şirket düzenli olarak kâr ediyor FK civarı Şirket güzel yönetiliyor diyebiliriz Yurtdışı faaliyetler olumlu Düzenli olarak özkaynak artışı şirketin finansal yapısının kuvvetli olduğunu gösteriyor milyar Tl civarı geçmiş yıl kârı ile bedelsiz ya da temettü potansiyeli barındırıyor Borç stoğu yönetilebilir durumda Son bir kaç arzın aksine tavan bozduktan sonra da taşınabilir,['HRKET'],finans
7,halka_arz_borsa,SPK tarafından Halka Arzı onaylanan Hareket Proje Taşımacılığı Hap Bilgileri Dağıtım Bireysele Eşit Dolaşım Milyon LOT Fiyat TL Arz Büyüklüğü Milyar TL,['HRKET'],finans
8,halka_arz_borsa,Koç Metalurji halka arz oluyor Talep Toplama Tarihleri Mayıs Fiyat Satılacak Lot Halka Arz Büyüklüğü Dağıtım Yöntemi Bireysele Eşit ℹGelin şirkete ufaktan göz atalım Halka arz sonrası defter değeri TL ile sektör ortalamasının altında fiyatlanıyor Arz ile özkaynakları civarı artıyor milyar TL geçmiş yıl kârları ile bedelsiz veya temettü potansiyeli barındırıyor Arz gelirlerinin büyük bir kısmı şirket kasasına giriyor i ile Hammadde üretim tesisinde kapasite artışı ile mevcut tesisin modernisazyonu i ile yenilenebilir enerji kaynak yatırımları planlanmaktadır lik kısmı da hammadde ve işletme sermayesi finansmanında kullanılacak Fon kullanım oranları büyüme odaklı bir şirkete ortak olduğumuzun göstegesi Borç stoğu da yönetilebilir durumda sıkıntı yok Çok beğendiğim bir arz değil ama katılım sağlanabilir,['KOCMT'],finans
9,halka_arz_borsa,Altınay Savunma halka arz oluyor Talep Toplama Tarihleri Mayıs Fiyat Satılacak Lot Halka Arz Büyüklüğü Dağıtım Yöntemi Bireysele Eşit ℹGelin birlikte beraber şirketi inceleyelim Halka arz gelirinin lik kısmı şirketin ivme kazanmasını sağlayacak yatırım ve ARGEye ayrılmış Halka arz sonrası şirket değeri sektördeki emsallerinin altında fiyatlanmış TL defter değeri ile fiyat avantajı mevcut Payların luk kısmının kurumsala ayrılmış olması işlem görmeye başladıktan sonra istikrarlı hareketler yapmasına katkı sağlayacaktır Fonların yoğun talepte bulunmasını bekliyoruz Yaklaşık milyar TL şirkete para girişi sağlanacak Bu da mevcut özkaynakların neredeyse ikiye katlanmasını sağlacayacak TUSAŞ ve ASELSAN giri şirketler ile çalışıyor Üklemizin yükselen değerlerinden İHA teknolojileri üzerine de çalışıyor Türk savunma sanayisinde adından çokça söz ettirecektir Net dönem kârı bir önceki yıla göre kat artmış Özkaynaklar artmış Agrasif büyümeye bağlı borç stoğu yönetilebilir durumda Şirket arz gelirleri ile çok rahat sıfırlayabilir Geçmiş yıl kârları ve diğer bilanço kalemleri ile bedelsiz potansiyeli mevcut Alıp unutulacak nadir şirketlerden,['ALTNY'],finans
